_BLANK,FALSE,Port ID,TRUE,_Select A Port List - Calc,Port List,Port_Name,Region,_Port Type - All Ports,_Port Type - Container Ports,_Port Type - Dry Bulk Ports,_Port Type - Tonnage Ports,Governance,Intermodal Facilities,Marine Terminals,Overview,State,_Lat - calc,_Lon - calc ,LAT,LON,Email
,FALSE,149,TRUE,All Ports,C,"Boston, MA",Atlantic Coast,All Ports,Container,,,The port is governed by the seven-member Massachusetts Port Authority (Massport) board.,"The port has close connections to the following National Highway System route(s): I90, I93, US1, US20, US3 and railroad(s): CSX Transportation, ST Railway.","The port’s facilities include the Conley public container terminal (located at the entrance to Massachusetts Bay), the Massport Marine Terminal, and the Moran Marine Terminal (also called Boston Autoport, located alongside the Mystic River). Moran Marine Terminal handles all the port’s Ro/Ro cargoes. Several private terminals that handle liquid and dry bulk cargoes, including petroleum products, fuel oils, and cement.",The port of Boston is located on Boston Harbor in Massachusetts Bay.,Massachusetts,42.350939,-71.05229,42.350939,-71.05229,bostonport1@gmail.com
,FALSE,1911,TRUE,All Ports,C,"Port Everglades, FL",Atlantic Coast,All Ports,Container,,,The port’s public facilities are governed by Broward County’s Port Everglades Department.,"The port has close connections to the following National Highway System route(s): I75, I95, I595, US1, US27, US441 and railroad(s): Florida East Coast Railway.","The port has 10 terminals that primarily handle containerized cargo, although some also handle dry and liquid bulk cargoes. The port also has a Ro/Ro terminal and multiple private petroleum terminals.","Port Everglades is located on Florida’s southeastern coast, about 20 miles north of Miami.",Florida,26.093392,-80.117801,26.093392,-80.117801,porteverglades8@gmail.com
,FALSE,1913,TRUE,All Ports,C,"San Juan, PR",Gulf Coast & Mississippi River,All Ports,Container,,,The port is governed by a seven-member Board of Directors. Its public facilities are administered by a Puerto Rico Ports Authority (PRPA) under Puerto Rico’s Department of Transportation and Public Works. PRPA oversees all Puerto Rican seaports and airports.,The port has close connections to local roads.,"The port’s main public cargo facilities are in the Puerto Nuevo complex, which handles containerized and break bulk cargoes with and without shore-side cranes. Containers are also handled at the private Isla Grande barge terminal. Additional private facilities handle containers in Ro/Ro and barge service, and bulk commodities.",The multiple public and private passenger and cargo facilities in and around San Juan Bay are collectively known as the port of San Juan.,Puerto Rico,18.442329,-66.09989,18.442329,-66.09989,portsanjuan05@gmail.com
,FALSE,1983,TRUE,All Ports,C,"Port of Palm Beach District, FL",Atlantic Coast,All Ports,Container,,,The port is governed by the five-member Board of Commissioners. The port is an independent special district of the State of Florida.,"The port has close connections to the following National Highway System route(s): I95, US1, US98, US441 and railroad(s): Florida East Coast Railway.","The port has 17 berths, 7 Ro/Ro ramps, and on-dock rail connected to 5 miles of port-owned track.",The port of Palm Beach is in Southeastern Florida in Riviera Beach on the Atlantic Ocean.,Florida,26.76904,-80.05267,26.76904,-80.05267,portpalmbeach@gmail.com
,FALSE,1992,TRUE,All Ports,C,"PortMiami, FL",Atlantic Coast,All Ports,Container,,,The port is governed by the Miami-Dade County’s Seaport Department.,"The port has close connections to the following National Highway System route(s): I95, I195, I395, I595, US1, US41 and railroad(s): CSX Transportation, Florida East Coast Railway, South Florida Rail Corridor.","The port has three terminals: the Seaboard Marine Terminal, the South Florida Container Terminal, and the Port of Miami Terminal Operating Company. Through these terminals the port moves a wide range of cargoes including containerized, break bulk, and Ro/Ro cargoes. Several private terminals are located along the Miami River that handle bulk and project cargoes.","The port of Miami (Port Miami) is located east of downtown Miami on Biscayne Bay, on Florida’s Atlantic coast.",Florida,25.782862,-80.181642,25.782862,-80.181642,bostonport1@gmail.com
,FALSE,2017,TRUE,All Ports,C,"Jacksonville, FL",Atlantic Coast,All Ports,Container,,,The port is governed by the seven-member Jacksonville Port Authority Board of Directors.,"The port has close connections to the following National Highway System route(s): I95, I10, US1, US17, US23, US90 and railroad(s): CSX Transportation, Florida East Coast Railway.","The Blount Island Marine Terminal handles containerized, break bulk, general cargo, and Ro/Ro cargo The Dames Point Marine Terminal handles container cargo, and bulk aggregates (e.g., limestone and gravel). The Talleyrand and Marine Terminal handles containers, break bulk forest and steel products, and liquid bulk (e.g., molasses and vegetable oils). There are also private bulk terminals.","The port of Jacksonville is located along the St. Johns River, about 10 nautical miles inland from the Atlantic Ocean.",Florida,30.322757,-81.665125,30.322757,-81.665125,porteverglades8@gmail.com
,FALSE,2021,TRUE,All Ports,TD,"Tampa Port Authority, FL",Gulf Coast & Mississippi River,All Ports,,Dry Bulk,Tonnage,The port is governed by a seven-member Port Tampa Bay Governing Board.,The port has close connections to the following National Highway System route(s): I275 and railroad(s): CSX Transportation.,"The Hooker’s Point facility handles containers at three berths and general cargo at five berths. The port also has over 20 privately operated terminals handling liquid bulk, dry bulk, break bulk, refrigerated, and Ro/Ro cargoes. The Port Logistics cold storage warehouse includes on-site fumigation, and U.S. Customs and U.S. Department of Agriculture inspection facilities.","The port of Tampa (Port Tampa Bay) is located south of downtown Tampa, Florida, on the Gulf of Mexico.",Florida,27.78534,-82.52235,27.78534,-82.52235,portsanjuan05@gmail.com
,FALSE,2031,TRUE,All Ports,CTD,"Houston Port Authority, TX",Gulf Coast & Mississippi River,All Ports,Container,Dry Bulk,Tonnage,The port is governed by the seven-member PHA commission.,"The port has close connections to the following National Highway System route(s): I10, I45, 69, I610, US90 and railroad(s): Union Pacific Railroad, Port Terminal Railroad Association.","The port includes 8 public terminals that handle multiple cargo types and over 100 private terminals that handle bulk, break bulk, project, and Ro/Ro cargoes. The Barbours Cut and Bayport container terminals account for much of the Gulf Coast’s container trade. Many of the port’s private terminals handle commodities related to the region’s energy industry.",The port of Houston (PHA) includes nearly 200 public and private terminals located along the 52-mile-long Houston Ship Channel extending inland from the Gulf of Mexico.,Texas,29.72789,-95.1535,29.72789,-95.1535,portpalmbeach@gmail.com
,FALSE,2032,TRUE,All Ports,CTD,"Mobile, AL",Gulf Coast & Mississippi River,All Ports,Container,Dry Bulk,Tonnage,The nine-member Alabama State Port Authority (ASPA) board manages the port in conjunction with the Alabama State Docks Department.,"The port has close connections to the following National Highway System route(s): I10, 65, I165, US90 and railroad(s): Alabama and Gulf Coast Railway, Alabama Export Railroad, Norfolk Southern Railway.","The port has multiple public and private terminals that handle both ship and barge traffic. These facilities include a container terminal, a liquid bulk terminal, a general cargo terminal, and a bulk handling plant. There are also multiple additional private terminals that move a variety of dry and liquid bulk, break bulk, project, and Ro/Ro cargoes.","The port of Mobile is located on the western shore of Mobile Bay, at the confluence of several rivers flowing into the Gulf of Mexico. The port has both inland waterway and ocean access.",Alabama,30.72527,-88.04113,30.72527,-88.04113,bostonport1@gmail.com
,FALSE,2248,TRUE,All Ports,T,"Lake Charles Harbor District, LA",Gulf Coast & Mississippi River,All Ports,,,Tonnage,The port is governed by a six-member Board of Commissioners.,"The port has close connections to the following National Highway System route(s): I10, I210, US90, US171 and railroad(s): Union Pacific Railroad.","The port has two public terminals. Bulk Terminal Number 1 handles dry bulk commodities including petroleum coke and grain. City Docks primarily handles break bulk cargo, including bagged flour and rice, lumber, and logs. There is also a privately operated grain terminal within the port complex. The port owns and operates two industrial parks and owns leasable sites along the Calcasieu Ship Channel. Multiple private terminals within the port district handle liquid bulk, especially petroleum products (e.g., fuel oil and gasoline).","The port of Lake Charles is in Lake Charles, Louisiana, along the 36-mile Calcasieu Ship Channel connecting the Gulf of Mexico with Lake Charles.",Louisiana,30.106406,-93.286839,30.106406,-93.286839,porteverglades8@gmail.com
